agey,serogroup,country,survyr,ipd
74,PCV13,South Africa,2017,1
75,PCV13,South Africa,2017,4
76,PCV13,South Africa,2017,2
77,PCV13,South Africa,2017,0
78,PCV13,South Africa,2017,0
79,PCV13,South Africa,2017,1
80,PCV13,South Africa,2017,2
81,PCV13,South Africa,2017,2
82,PCV13,South Africa,2017,1
83,PCV13,South Africa,2017,0
84,PCV13,South Africa,2017,0
85,PCV13,South Africa,2017,0
86,PCV13,South Africa,2017,0
87,PCV13,South Africa,2017,1
88,PCV13,South Africa,2017,1
89,PCV13,South Africa,2017,0
90,PCV13,South Africa,2017,0
55,PCV15,South Africa,2017,3
56,PCV15,South Africa,2017,6
57,PCV15,South Africa,2017,8
58,PCV15,South Africa,2017,4
59,PCV15,South Africa,2017,2
60,PCV15,South Africa,2017,5
61,PCV15,South Africa,2017,2
62,PCV15,South Africa,2017,1
63,PCV15,South Africa,2017,3
64,PCV15,South Africa,2017,1
65,PCV15,South Africa,2017,3
66,PCV15,South Africa,2017,3
67,PCV15,South Africa,2017,4
68,PCV15,South Africa,2017,4
69,PCV15,South Africa,2017,3
70,PCV15,South Africa,2017,3
71,PCV15,South Africa,2017,3
72,PCV15,South Africa,2017,2
73,PCV15,South Africa,2017,1
74,PCV15,South Africa,2017,1
75,PCV15,South Africa,2017,4
76,PCV15,South Africa,2017,2
77,PCV15,South Africa,2017,0
78,PCV15,South Africa,2017,0
79,PCV15,South Africa,2017,1
80,PCV15,South Africa,2017,3
